"","model_name","dv","intercept","intercept_se","intercept_t","firmsizestd","firmsizestd_se","firmsizestd_t","gmci2016c","gmci2016c_se","gmci2016c_t","firmsize_sq","firmsize_sq_se","firmsize_sq_t","var_firm","var_country","deviance","para_count","sigularity","convWarning","aic","bic","group_count","firm_count"
"1","ControlVar_ sensing2","sensing2",-0.1221,0.1288,-0.9487,0.3456,0.0896,3.8576,0.0171,0.0685,0.2501,-0.0251,0.009,-2.787,0.7377,0.2108,1514.0320913406,6,FALSE,0,1526.0320913406,1552.25149723757,15,584
"2","ControlVar_ proactive2","proactive2",-0.0585,0.1176,-0.4978,0.3766,0.0886,4.2486,0.0754,0.0625,1.2064,-0.025,0.0089,-2.797,0.7252,0.1714,1524.39114485774,6,FALSE,0,1536.39114485774,1562.70231125173,15,593
"3","ControlVar_ agility2","agility2",-0.0994,0.1282,-0.775,0.3882,0.0869,4.4669,0.0554,0.0682,0.8123,-0.0269,0.0088,-3.0696,0.6931,0.2097,1465.89149793121,6,FALSE,0,1477.89149793121,1504.05931279665,15,579
